,high_price,eth_past_average10
531,0,
532,0,
533,0,
534,False,
535,0,
536,0,
537,0,
538,0,
539,0,
540,0,
541,0,
542,0,
543,0,
544,0,
545,0,0.37849999999999995
546,False,0.3435
547,0,
548,False,
549,0,
550,0,
551,0,
552,0,
553,0,
554,0,
555,0,
556,0,
557,0,
558,0,
559,0,0.5285738095999999
560,0,0.5644071429
561,0,0.56355
562,0,0.51655
563,False,0.5165500000000001
564,False,
565,0,
566,0,
567,False,
568,0,
569,0,
570,0,
571,0,
572,0,
573,0,
574,0,
575,0,
576,False,
577,False,
578,False,
579,0,
580,0,
581,0,
582,0,
583,0,
584,0,
585,False,
586,0,
587,0,
588,0,
589,0,
590,0,
591,False,
592,False,
593,False,
594,0,
595,0,
596,False,
597,0,
598,0,
599,0,
600,0,
601,False,
602,0,
603,0,
604,0,
605,0,
606,0,
607,0,
608,0,
609,0,
610,0,
611,0,
612,0,0.35733333330000017
613,False,0.40066666660000017
614,0,
615,0,
616,0,
617,0,
618,False,
619,0,
620,0,
621,0,
622,0,
623,0,
624,0,
625,False,
626,0,
627,0,
628,0,
629,0,
630,0,
631,0,
632,0,
633,0,
634,0,
635,0,
636,False,0.45021515150000024
637,0,
638,0,
639,0,
640,0,
641,0,
642,0,
643,0,
644,0,
