,timestamp,eth
387,12/24/18 0:00,0.533333333
388,12/25/18 0:00,1.395
389,12/27/18 0:00,0.595
390,12/28/18 0:00,0.175
391,12/29/18 0:00,0.546666667
392,12/30/18 0:00,0.26
393,1/1/19 0:00,0.295
394,1/3/19 0:00,0.4
395,1/4/19 0:00,0.386666667
396,1/7/19 0:00,0.552727273
397,1/8/19 0:00,0.3625
398,1/9/19 0:00,0.41
399,1/10/19 0:00,1.945
400,1/11/19 0:00,0.3
401,1/13/19 0:00,0.69
402,1/16/19 0:00,0.4
403,1/17/19 0:00,0.32
404,1/18/19 0:00,0.325
405,1/19/19 0:00,0.547142857
406,1/20/19 0:00,0.37
407,1/21/19 0:00,0.385
408,1/22/19 0:00,0.753333333
409,1/23/19 0:00,0.35
410,1/24/19 0:00,0.347142857
411,1/25/19 0:00,0.35
412,1/26/19 0:00,0.44
413,1/27/19 0:00,0.35
414,1/30/19 0:00,0.34
415,1/31/19 0:00,0.29
416,2/1/19 0:00,0.3
417,2/2/19 0:00,
418,2/3/19 0:00,0.326666667
419,2/5/19 0:00,0.32
420,2/8/19 0:00,0.4
421,2/9/19 0:00,0.41
422,2/10/19 0:00,0.38
423,2/14/19 0:00,0.4
424,2/16/19 0:00,0.305
425,2/18/19 0:00,1.9
426,2/19/19 0:00,0.32
427,2/20/19 0:00,0.51
428,2/21/19 0:00,0.855
429,2/22/19 0:00,0.54
430,2/23/19 0:00,0.470909091
431,2/24/19 0:00,0.373333333
432,2/27/19 0:00,0.2
433,2/28/19 0:00,0.35
434,3/2/19 0:00,0.435
435,3/5/19 0:00,0.34
436,3/6/19 0:00,0.7225
437,3/11/19 0:00,0.79
438,3/13/19 0:00,0.365
439,3/14/19 0:00,0.4075
440,3/15/19 0:00,0.783333333
441,3/16/19 0:00,0.458333333
442,3/20/19 0:00,0.631666667
443,3/21/19 0:00,0.46
444,3/22/19 0:00,0.393333333
445,3/24/19 0:00,0.458333333
446,3/25/19 0:00,1.9125
447,3/26/19 0:00,2
448,3/27/19 0:00,1.3
449,3/28/19 0:00,0.494545455
450,3/29/19 0:00,1.7975
451,3/30/19 0:00,0.742
452,3/31/19 0:00,0.535
453,4/1/19 0:00,0.35
454,4/2/19 0:00,
455,4/3/19 0:00,
456,4/4/19 0:00,0.7
457,4/5/19 0:00,0.3
458,4/6/19 0:00,3.738181818
459,4/7/19 0:00,0.636
460,4/8/19 0:00,0.625
461,4/9/19 0:00,
462,4/10/19 0:00,0.46
463,4/11/19 0:00,0.54
464,4/12/19 0:00,0.35
465,4/13/19 0:00,0.655
466,4/14/19 0:00,0.796666667
467,4/15/19 0:00,0.29
468,4/16/19 0:00,0.45
469,4/17/19 0:00,0.34
470,4/18/19 0:00,0.47
471,4/20/19 0:00,0.41875
472,4/21/19 0:00,0.42
473,4/22/19 0:00,0.734
474,4/23/19 0:00,0.7
475,4/24/19 0:00,0.52
476,4/25/19 0:00,0.5
477,4/26/19 0:00,
478,4/28/19 0:00,1.15
479,4/29/19 0:00,0.4
